Date_,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,MA30_,STD30_,Upper_Band_,Lower_Band_
2026-02-03,268.98028564453125,271.3758289780004,267.11372779647115,268.70080609664296,64394700,262.02618001302085,8.664778792734104,279.35573759848904,244.69662242755265
2026-02-04,275.97723388671875,278.432693698261,271.7850411492978,271.7850411492978,90545700,262.12000427246096,8.80365012450582,279.7273045214726,244.51270402344932
2026-02-05,275.3983459472656,278.98168486317746,272.72332314901723,277.6142303156022,52977400,262.28436584472655,9.008514480516714,280.30139480575997,244.26733688369313
2026-02-06,277.6042175292969,280.3890519626743,276.4164219647768,276.6060720438839,50453400,262.47600911458335,9.27630873112292,281.0286265768292,243.9233916523375
2026-02-09,274.3672180175781,277.9439398399519,271.4499228389202,277.6541982366954,44623400,262.5115091959635,9.321098613898313,281.1537064237601,243.8693119681669
2026-02-10,273.4280700683594,275.11651686144285,272.68876099546605,274.6369782150198,34376900,262.529345703125,9.342137445711996,281.21362059454896,243.845070811701
2026-02-11,275.24639892578125,279.92208361183503,274.1973776592452,274.44714753122867,51931300,262.59581400553384,9.427762584579064,281.45133917469195,243.74028883637573
2026-02-12,261.4891052246094,275.46621856633783,259.94051360693726,275.3363333447182,81077200,262.22633158365886,9.238547482034289,280.7034265477274,243.74923661959028
2026-02-13,255.5445556640625,261.9886306947134,255.21485759663088,261.7688319830923,56290700,261.6992889404297,9.150347848761617,279.99998463795293,243.3985932429065
2026-02-17,263.6371154785156,266.0449008431299,255.30478047881587,257.8124646511843,58469100,261.47027893066405,9.007153886139486,279.48458670294303,243.45597115838507
2026-02-18,264.106689453125,266.57441720150126,262.20844437502524,263.35737977838915,34203300,261.381689453125,8.966265493388661,279.31422043990233,243.44915846634765
2026-02-19,260.3401184082031,264.2365527856389,259.81060750150084,262.35827847824623,30845300,261.33057861328126,8.967735785809845,279.26605018490096,243.39510704166156
2026-02-20,264.3364562988281,264.5063132392292,257.9223826043077,258.73163460792017,42070500,261.4802205403646,8.979577156675441,279.4393748537155,243.5210662270137
2026-02-23,265.9349670410156,269.1819753311392,263.13755670993424,263.24744081710827,37308200,261.72606506347654,8.997802625879254,279.72167031523503,243.73045981171802
2026-02-24,271.8895263671875,274.6369951599546,267.46358073991865,267.61343657617186,47014600,262.15941569010414,9.167909509030874,280.49523470816587,243.82359667204238
2026-02-25,273.97760009765625,274.6869380517792,270.8005039088116,271.5298429675081,33714300,262.6330891927083,9.404113370732242,281.4413159341728,243.82486245124383
2026-02-26,272.6987609863281,275.8558253670768,270.55071567552415,274.6969199809464,32345100,263.0375183105469,9.57154662433718,282.18061155922123,243.89442506187254
2026-02-27,263.93682861328125,272.5588900215503,262.6480379442022,272.5588900215503,72366500,263.18614908854164,9.54895881573877,282.28406672001915,244.0882314570641
2026-03-02,264.476318359375,266.2846497598317,259.960490133898,262.16844722421786,41827900,263.41098836263023,9.495346687181577,282.4016817369934,244.42029498826707
2026-03-03,263.5072326660156,265.31556422164516,259.8905695547566,263.23749216234586,38568900,263.6926915486654,9.363376334617593,282.41944421790055,244.96593887943018
2026-03-04,262.2783508300781,265.9050144519466,261.179387723623,264.4063951364299,39803100,264.2272196451823,8.77188203383553,281.77098371285336,246.68345557751124
2026-03-05,260.0504150390625,261.3192350446657,257.01320478174756,260.54995479568396,49658600,264.65587514241537,8.206649017710573,281.0691731778365,248.24257710699422
2026-03-06,257.2229919433594,258.53178361058343,254.13584003818684,258.39192833924307,41120000,264.9669932047526,7.711063401073865,280.3891200069003,249.5448664026049
2026-03-09,259.6407775878906,260.9095975388004,253.44647267699952,255.45463216869055,38218500,265.3690185546875,7.060251454453404,279.4895214635943,251.24851564578069
2026-03-10,260.58990478515625,262.2384104290217,256.71350175461305,257.4128391437035,30590800,265.5574701944987,6.84433170635351,279.2461336072057,251.86880678179168
2026-03-11,260.5699157714844,261.888707997661,259.3110658747261,260.8496568052655,26218900,265.6501001993815,6.753803249611922,279.15770669860535,252.14249370015764
2026-03-12,255.52456665039062,258.71164792954545,253.94601921584928,258.4219063383753,40794000,265.63543701171875,6.775997926706241,279.18743286513126,252.08344115830627
2026-03-13,249.8897705078125,256.0940459350445,249.29033192864068,255.24483747003174,36930000,265.371728515625,7.230138149715653,279.83200481505634,250.9114522161937
2026-03-16,252.58729553222656,253.6563027081548,249.6499992581203,251.87794235419486,32074200,265.1580113728841,7.514192125519726,280.18639562392354,250.12962712184466
2026-03-17,253.99598693847656,254.89516767044782,251.94787083452104,252.72716690012706,32361600,264.6409006754557,7.734972794503517,280.11084626446274,249.17095508644869
2026-03-18,249.70994567871094,254.70534343896443,248.7708084606242,252.3974721128864,35757900,263.9985560099284,8.15113547187438,280.30082695367713,247.69628506617963
2026-03-19,248.73085021972656,251.5982036354298,247.0723745163624,249.17043241392184,34864100,263.09034322102866,8.287210497917942,279.66476421686457,246.51592222519278
2026-03-20,247.76173400878906,248.97061168291066,245.77356028907465,247.7517334570195,88331100,262.1691228230794,8.407053270077716,278.98322936323484,245.355016282924
2026-03-23,251.25851440429688,254.3656523266213,250.0496214753341,253.73622734962268,40546100,261.29093271891276,8.109892825513679,277.5107183699401,245.0711470678854
2026-03-24,251.4083709716797,254.5954370944537,249.32029842391177,250.1195650925759,45152300,260.5256378173828,7.9142952035188046,276.3542282244204,244.6970474103452
2026-03-25,252.38746643066406,254.76528059453105,251.3684162845015,253.86611511385965,28476700,259.824284362793,7.659670840063375,275.1436260429197,244.50494268266624
2026-03-26,252.6572265625,256.76344411909713,250.53918279672283,251.88793104116345,41796700,259.0713119506836,7.187062707014668,273.4454373647129,244.69718653665427
2026-03-27,248.57098388671875,255.2548282141602,247.8416601166152,253.666280215245,47900000,258.64070790608724,7.4204071133807465,273.48152213284874,243.79989367932575
